Time 	Vout
0	0.0241732001304626
3E-7	0.099521279335022
6E-7	0.174441039562225
9E-7	0.248506963253021
1.2E-6	0.32129830121994
1.5E-6	0.392401218414307
1.8E-6	0.461411833763123
2.1E-6	0.527938008308411
2.4E-6	0.591601610183716
2.7E-6	0.652040958404541
3E-6	0.70891273021698
3.3E-6	0.761893510818481
3.6E-6	0.810682654380798
3.9E-6	0.855002522468567
4.2E-6	0.894601583480835
4.5E-6	0.929254651069641
4.8E-6	0.958764672279358
5.1E-6	0.982964396476746
5.4E-6	1.00171601772308
5.7E-6	1.0149130821228
6E-6	1.0224803686142
6.3E-6	1.02437520027161
6.6E-6	1.02058672904968
6.9E-6	1.01113641262054
7.2E-6	0.996078014373779
7.5E-6	0.975497007369995
7.8E-6	0.949510335922241
8.1E-6	0.918265700340271
8.4E-6	0.881940841674805
8.7E-6	0.840741872787476
9E-6	0.794902920722961
9.3E-6	0.74468469619751
9.6E-6	0.690372347831726
9.9E-6	0.632274389266968
1.02E-5	0.57072114944458
1.05E-5	0.506062269210815
1.08E-5	0.438665270805359
1.11E-5	0.368912935256958
1.14E-5	0.297201931476593
1.17E-5	0.22393935918808
1.2E-5	0.149541676044464
1.23E-5	0.0744317173957825
1.26E-5	-0.000963866710662842
1.29E-5	-0.0762166976928711
1.32E-5	-0.150898933410645
1.35E-5	-0.224586486816406
1.38E-5	-0.296860456466675
1.41E-5	-0.367310345172882
1.44E-5	-0.435535728931427
1.47E-5	-0.50114893913269
1.5E-5	-0.563777178525925
1.53E-5	-0.623064517974854
1.56E-5	-0.678674131631851
1.59E-5	-0.730290025472641
1.62E-5	-0.777618944644928
1.65E-5	-0.820391923189163
1.68E-5	-0.858365833759308
1.71E-5	-0.891325071454048
1.74E-5	-0.919082224369049
1.77E-5	-0.94147963821888
1.8E-5	-0.9583899974823
1.83E-5	-0.969717234373093
1.86E-5	-0.975396990776062
1.89E-5	-0.975396975874901
1.92E-5	-0.969717234373093
1.95E-5	-0.958389982581139
1.98E-5	-0.94147963821888
2.01E-5	-0.919082224369049
2.04E-5	-0.891325071454048
2.07E-5	-0.85836586356163
2.1E-5	-0.820391923189163
2.13E-5	-0.777618944644928
2.16E-5	-0.730290025472641
2.19E-5	-0.678674131631851
2.22E-5	-0.623064517974854
2.25E-5	-0.563777178525925
2.28E-5	-0.50114893913269
2.31E-5	-0.435535728931427
2.34E-5	-0.367310404777527
2.37E-5	-0.29686051607132
2.4E-5	-0.224586486816406
2.43E-5	-0.150898933410645
2.46E-5	-0.0762166380882263
2.49E-5	-0.000963866710662842
2.52E-5	0.0744317173957825
2.55E-5	0.149541735649109
2.58E-5	0.22393935918808
2.61E-5	0.297201931476593
2.64E-5	0.368913054466248
2.67E-5	0.438665270805359
2.7E-5	0.506062388420105
2.73E-5	0.57072103023529
2.76E-5	0.632274389266968
2.79E-5	0.690372347831726
2.82E-5	0.74468469619751
2.85E-5	0.794902920722961
2.88E-5	0.840741872787476
2.91E-5	0.881940841674805
2.94E-5	0.918265819549561
2.97E-5	0.949510335922241
3E-5	0.975497007369995
